time,chain,symbol,address,pair,verdict,reasons,price,liq_usd,vol24_usd,age_h,fdv,buys_h1,sells_h1,h1,h6,h24,sources
2026-09-26 03:11,ethereum,SHFL,0x8881562783028f5c1bcb985d2283d5e170d88888,0xd0a4c8a1a14530c7c9efdad0ba37e8cf4204d230,REJECT,no dexscreener pair,0.393349624981104,8642906,675515,22232.3,361893973.742857,6,9,0.00058,0.021629999999999996,0.10034000000000001,ds
2026-09-26 03:11,ethereum,MNT,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,0x9aac67deef711d438ad711ae495b8cb43a6ee1a8,REJECT,no dexscreener pair,0.683674666693495,3898815,381036,13890.5,4251989336.11812,42,1,0.015109999999999998,0.02475,0.01146,ds
2026-09-26 03:11,ethereum,BEAM,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,0x180efc1349a69390ade25667487a826164c9c6e4,REJECT,no dexscreener pair,0.00212641828488595,2826685,429011,25576.2,122545893.131873,9,25,-0.01594,0.00436,0.05373,ds
2026-09-26 03:11,ethereum,SPK,0xc20059e0317de91738d13af027dfc4a50781b066,0x39f748f252ffff5f2cb755824bd46bd4c0720ffcec1ed128b38a1049a0e70496,REJECT,no dexscreener pair,0.0239655352128557,742626,477431,11178.7,239741817.79468,23,23,-0.00155,0.01014,0.12817,ds
2026-09-26 03:16,solana,KMNO,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,3ndjN1nJVUKGrJBc1hhVpER6kWTZKHdyDrPyCJyX3CXK,REJECT,top-10 holders 53%; lp holders unknown,0.04205,2044450,9203041,17177.0,420597620.0,817,1140,0.0091,0.0179,0.1568,ds+goplus
2026-09-26 03:21,base,AVNT,0x696f9436b67233384889472cd7cd58a6fb5df4f1,0xe30d5bf485f7476ac15884a28ffb3c9cea635dcb,REJECT,no dexscreener pair,0.125891256558362,729898,317788,9158.4,125288905.428717,44,80,0.00847,0.04096,0.10497,ds
2026-09-26 03:42,ethereum,CBBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x3c0441b42195f4ad6aa9a0978e06096ea616cda7,REJECT,no dexscreener pair,83478.6829220407,18117558,11547554,8947.1,3944466284.81299,7,9,-0.0023499999999999997,-0.00449,-0.00805,ds
2026-09-26 03:57,base,SURPLUS,0xc52aedec3374422d7510e294cfaa90799595cba3,0xfc25fdd217e288d03a877f0b7d49e0bbe52b2288c88de929125062569fc7eb2a,REJECT,no dexscreener pair,6.65464381242102e-05,2344549,388161,3180.6,6606135.37972232,106,25,-0.12587,-0.22514,-0.25414000000000003,ds
2026-09-26 04:07,solana,MPLX,METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m,BxRhW4q1wTRwJkJ1C4NR4yJCRL2uusoju4g1bVenspZK,REJECT,mint authority; top-10 holders 67%; lp holders unknown,0.06506,3058269,1769072,8155.3,65062521.0,790,741,-0.037599999999999995,0.1957,0.41350000000000003,ds+goplus
2026-09-26 04:58,solana,ZCAT,HcRLc9VDgjLeK154xDawfb1dmVJ98DoSqcwTHGqiDeJR,BTccxxTFi7a9xJTE1exKn38Jgie35s6gNeRxd8DM61Rc,REJECT,lp holders unknown,0.05291,1270616,1619087,629.5,52912693.0,191,28,-0.0694,-0.1159,-0.2167,ds+goplus
2026-09-26 05:03,base,AAVE,0x63706e401c06ac8513145b7687A14804d17f814b,0x4a79B0168296c0eF7b8F314973B82aD406a29f1B,REJECT,pool age unknown,154.26,1511449,1238472,,4635723.0,43,19,0.0014000000000000002,0.013300000000000001,0.058899999999999994,ds
2026-09-26 05:03,ethereum,MOG,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,0xc2eaB7d33d3cB97692eCB231A5D0e4A649Cb539d,REJECT,top-10 holders 46%,1.262e-07,6091793,312990,27938.0,49290838.0,13,11,0.0197,0.0095,-0.0008,ds+goplus
2026-09-26 05:04,ethereum,USDE,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0x56fc29b86900aa0afa6e20b020429bffba1105cfb45070492c67529b46eb48c1,REJECT,is_mintable; top-10 holders 95%; lp locked 0% < 95%,0.9998,1688831,11739373,1685.7,4897471195.0,11,2,,-0.0001,,ds+goplus
2026-09-26 05:09,ethereum,LIT,0x232CE3bd40fCd6f80f3d55A522d03f25Df784Ee2,0x8366b1dde4de12c8806985fbb599d408d92d01a6faf2e478cc6bb76189cc00f1,REJECT,buy tax unknown; sell tax unknown; top-10 holders 64%; lp locked 0% < 95%,4.87,491729,835745,6025.9,4802157255.0,14,3,0.0086,0.0103,-0.0189,ds+goplus
2026-09-26 05:42,base,NVDAC,0xb20000000000000000000078ee7ce2fE4908108C,0x853F5f1B92b16714Fe6CDA67CAad0856B83C7ab9,REJECT,pool age unknown,224.66,2433410,7269469,,4377948.0,51,35,0.0002,-0.0019,-0.0001,ds
2026-09-26 06:04,ethereum,H,0xE76c5b78f93909d34404E9eb4C1f19e7582a5dE1,0xbe26d0e86426f365a1fe963e58c77432911ac6a61a3141b341b774f00b4ce3d8,REJECT,is_proxy; top-10 holders 86%; lp locked 0% < 95%,0.07953,952269,319429,1079.2,795306378.0,27,21,0.0008,0.011000000000000001,0.2073,ds+goplus
2026-09-26 06:24,solana,2Z,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,5Guq7ooZFtNju48kVNRzCVJmE9erW4DPcTQyrAk3z4UE,REJECT,mint authority; top-10 holders 45%; lp holders unknown,0.06782,1236721,922085,3732.4,678226374.0,1807,2166,0.1413,0.14859999999999998,0.24489999999999998,ds+goplus
2026-09-26 07:49,solana,STONK,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,zxTpi4BtaWX3mgdAPoezkMD1hxx8CdeCfrqXMWvSCLX,PASS,,0.2614,2940269,13724043,1077.0,261483988.0,776,187,-0.0546,-0.1928,-0.19649999999999998,ds+goplus+rugcheck
2026-09-26 07:49,base,VVV,0xacfE6019Ed1A7Dc6f7B508C02d1b04ec88cC21bf,0x01784ef301D79e4B2DF3a21ad9a536d4cF09A5Ce,REJECT,is_mintable; buy tax unknown; sell tax unknown; owner_percent 30%; top-10 holders 63%,29.77,18805966,1407068,14559.1,2413385511.0,169,61,-0.0101,-0.0245,-0.0452,ds+goplus
2026-09-26 07:49,ethereum,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,0xe63e32b2ae40601662f760d6bf5d771057324fbd97784fe1d3717069f7b75d45,REJECT,is_proxy; buy tax unknown; sell tax unknown; top-10 holders 88%,1.00023,100137073,48095805,6125.4,1743839929.0,6,6,,,-0.0001,ds+goplus
2026-09-26 07:49,ethereum,MOG,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,0xc2eaB7d33d3cB97692eCB231A5D0e4A649Cb539d,REJECT,top-10 holders 45%,1.268e-07,6105183,347560,27940.7,49529464.0,19,12,0.0113,0.0191,0.0151,ds+goplus
2026-09-26 07:49,ethereum,MNT,0x3c3a81e81dc49A522A592e7622A7E711c06bf354,0x9Aac67dEeF711D438AD711Ae495B8CB43a6eE1A8,REJECT,is_proxy; top-10 holders 87%,0.7077,3953374,519610,13895.2,4402006016.0,38,6,0.032400000000000005,0.052000000000000005,0.0518,ds+goplus
2026-09-26 07:49,ethereum,ADI,0x8B1484d57abBE239bB280661377363b03c89CaEa,0x41a561B972039A9ccb975a4C17B84c9f95099E15,REJECT,is_proxy; buy tax unknown; sell tax unknown; top-10 holders 98%,8.2,2999832,602844,6735.6,8204109539.0,37,25,0.0005,-0.005,-0.022799999999999997,ds+goplus
2026-09-26 07:49,ethereum,SKY,0x56072C95FAA701256059aa122697B133aDEd9279,0x949cddfee3b676c528c9c79ccce04f9062ef8527098dd871a27bc423856443a3,REJECT,is_mintable; top-10 holders 90%,0.07927,2370242,1577479,8108.9,1859668895.0,15,6,0.004699999999999999,0.0137,0.1011,ds+goplus
2026-09-26 07:49,ethereum,CTM,0xc8Fb80fCc03f699C70ff0CC08C09106288888888,0xdb4c4d91f12ce76f5c9ac0eae193cf3b4d6684cd5f09bf35d03dd9ae6d8a43b1,REJECT,is_mintable,0.2377,2714528,1994204,4291.1,70455317.0,90,93,0.0004,-0.0023,-0.0043,ds+goplus
